ID	Value
htd12034	मनयारा\N_NNP पार्क\N_NNP में\PSP कुछ\PR_PRI ही\RP_RPD दूर\N_NST चलने\V_VM के\PSP बाद\N_NST झाड़ियों\N_NN में\PSP घूम\V_VM रहे\V_VAUX हाथियों\N_NN के\PSP झुंड\N_NN से\PSP सामना\V_VM हुआ\V_VAUX ।\RD_PUNC
htd12035	मनयारा\N_NNP पार्क\N_NNP में\PSP तभी\CC_CCS एकाएक\N_NN बैबूनों\N_NN पर\PSP हमारी\PR_PRP नजर\V_VM पड़ी\V_VAUX ।\RD_PUNC
htd12036	लेक\N_NNP मनयारा\N_NNP पार्क\N_NNP में\PSP बैबून\N_NN बहुतयात\N_NN में\PSP हैं\V_VM ।\RD_PUNC
htd12037	स्वाहिली\N_NNP में\PSP बैबूनों\N_NN को\PSP ’\N_NN न्यायी\JJ ’\N_NN कहा\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd12038	लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP की\PSP भौगोलिक\JJ स्थिति\N_NN के\PSP कारण\N_NN यहाँ\DM_DMD दो\QT_QTC प्रकार\N_NN की\PSP बैबून\N_NN प्रजातियाँ\N_NN पाई\V_VM जाती\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12039	पीले\JJ बैबून\N_NN तंजानिया\N_NNP के\PSP दक्षिण\N_NST पूर्व\N_NST व\CC_CCD जैतूनी\JJ बैबून\N_NN उत्‍तर\N_NST पश्‍चिम\N_NST में\PSP हैं\V_VM ।\RD_PUNC
htd12040	लेक\N_NNP मनयारा\N_NNP पार्क\N_NNP में\PSP ऐसे\DM_DMR वर्णसंकर\JJ बैबून\N_NN मौजूद\V_VM हैं\V_VAUX जिनमें\DM_DMR उपरोक्‍त\N_NN दोनों\QT_QTO प्रजातियों\N_NN की\PSP खूबियाँ\V_VM हैं\V_VAUX ।\RD_PUNC
htd12041	कुछ\PR_PRI बैबूनों\N_NN को\PSP पेड़\N_NN पर\PSP ऊँची\JJ डालियों\N_NN पर\PSP चौकन्ने\JJ बैठे\N_NN देखकर\N_NN हमें\PR_PRP आश्‍चर्य\V_VM हुआ\V_VAUX ।\RD_PUNC
htd12042	हमें\PR_PRP बताया\V_VM गया\V_VAUX कि\CC_CCD खतरा\N_NN भाँप\V_VM कर\V_VAUX बैबून\N_NN ऐसा\DM_DMR करते\V_VM हैं\V_VAUX ।\RD_PUNC
htd12043	खतरा\N_NN टलने\N_NN पर\PSP बैबून\N_NN पेड़\N_NN से\PSP नीचे\N_NST उतर\V_VM आते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12044	मनयारा\N_NNP पार्क\N_NNP में\PSP ये\DM_DMD बैबून\N_NN ,\RD_PUNC पेड़ों\N_NN पर\PSP सो\V_VM रहे\V_VAUX थे\V_VAUX ।\RD_PUNC
htd12045	सोने\N_NN के\PSP लिए\PSP बैबून\N_NN अपने\PR_PRF मनपसंद\JJ पेड़\N_NN का\PSP चयन\V_VM करते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12046	अब\N_NN हम\PR_PRP उत्सुक\V_VM थे\V_VAUX मनयारा\N_NNP पार्क\N_NNP के\PSP पेड़ों\N_NN पर\PSP विश्राम\N_NN करते\N_NN शेरों\N_NN को\PSP देखने\V_VM के\V_VAUX लिए\V_VAUX ।\RD_PUNC
htd12047	मैंने\PR_PRP पढ़ा\V_VM था\V_VAUX प्रसिद्ध\JJ ’\N_NN सेंरेगेटी\N_NNP नेशनल\N_NNP पार्क\N_NNP ’\N_NN की\PSP तरह\N_NN लेक\N_NNP मनयारा\N_NNP में\PSP भी\RP_RPD शेरों\N_NN व\CC_CCD चीतों\N_NN को\PSP पेड़ों\N_NN पर\PSP विश्राम\N_NN करने\N_NN की\PSP अनोखी\JJ आदत\N_NN है\V_VM जो\PR_PRL विश्‍व\N_NNP में\PSP अन्यत्र\N_NN किसी\PR_PRQ नेशनल\N_NN पार्क\N_NN में\PSP नहीं\RP_NEG पाई\V_VM जाती\V_VAUX ।\RD_PUNC
htd12048	ਖ\RD_SYM
htd12049	शेरों\N_NN की\PSP इस\DM_DMD आदत\N_NN के\PSP पीछे\N_NST कई\PR_PRI अवधारणाएँ\N_NN हैं\V_VM ,\RD_PUNC मक्खियों\N_NN से\PSP बचना\N_NN ,\RD_PUNC हवा\N_NN का\PSP आनंद\N_NN लेना\N_NN ,\RD_PUNC जेब्रों\N_NN या\CC_CCD भैसों\N_NN के\PSP गुजरते\N_NN झुंडों\N_NN की\PSP टोह\N_NN लेना\N_NN ,\RD_PUNC हाथियों\N_NN के\PSP झुंडों\N_NN से\PSP बचना\N_NN इसके\DM_DMD कुछ\PR_PRI कारण\N_NN गिनाए\V_VM जाते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12050	पूर्वी\N_NST अफ्रीका\N_NNP के\PSP ’\N_NN कतिपय\N_NNP नेशनल\N_NNP पार्कों\N_NNP में\PSP पेड़ों\N_NN पर\PSP विश्राम\N_NN करने\N_NN की\PSP शेरों\N_NN की\PSP विचित्र\JJ आदत\N_NN के\PSP बारे\N_NN में\PSP सोच\V_VM ही\V_VAUX रहा\V_VAUX था\V_VAUX कि\CC_CCD ड्राइवर\N_NN ने\PSP एकाएक\N_NN जीप\N_NN रोककर\N_NN हमें\PR_PRP एक\QT_QTC पेड़\N_NN की\PSP ओर\N_NST इशारा\V_VM किया\V_VAUX ।\RD_PUNC
htd12051	दो\QT_QTC लंबी\JJ -\RD_PUNC लंबी\RD_ECH पूँछों\N_NN को\PSP लटकते\N_NN देख\N_NN हमारे\PR_PRP आश्‍चर्य\N_NN का\PSP ठिकाना\V_VM न\RP_NEG रहा\V_VAUX ।\RD_PUNC
htd12052	हमने\PR_PRP ऊपर\N_NST की\PSP ओर\N_NST गर्दन\N_NN घुमाई\N_NN तो\RP_RPD दो\QT_QTC विशालकाय\JJ शेरों\N_NN को\PSP पेड़\N_NN पर\PSP आराम\V_VM फरमाते\V_VAUX पाया\V_VAUX ।\RD_PUNC
htd12053	दम\N_NN साधे\N_NN हम\PR_PRP कुछ\PR_PRI देर\N_NN तक\PSP इस\DM_DMD सुंदर\JJ एवं\CC_CCD रोमांचक\JJ दृश्य\N_NN का\PSP भरपूर\JJ आनंद\V_VM उठाते\V_VAUX रहे\V_VAUX ।\RD_PUNC
htd12054	कई\PR_PRI जगह\N_NN पड़ी\N_NN खोपड़ियाँ\N_NN ,\RD_PUNC सींग\N_NN व\CC_CCD अस्थि\N_NN -\RD_PUNC पिंजर\N_NN देखकर\N_NN हमें\PR_PRP विस्मय\V_VM हुआ\V_VAUX ।\RD_PUNC
htd12055	ये\DM_DMD हड्‍डियाँ\N_NN उन\PR_PRP जंगली\JJ जानवरों\N_NN की\PSP रही\V_VM होंगी\V_VAUX जो\PR_PRL शेरों\N_NN व\CC_CCD चीतों\N_NN का\PSP ग्रास\N_NN बने\V_VM होंगे\V_VAUX ।\RD_PUNC
htd12056	मनयारा\N_NNP पार्क\N_NNP में\PSP शेर\N_NN अधिकांशतः\N_NN भोजन\N_NN के\PSP लिए\PSP भैसों\N_NN ,\RD_PUNC जेब्रों\N_NN व\CC_CCD वाइल्ड\JJ बीस्ट\N_NN का\PSP शिकार\V_VM करते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12057	मनयारा\N_NNP पार्क\N_NNP में\PSP शेर\N_NN अधिकांशत\JJ भोजन\N_NN के\PSP लिए\PSP भैंसों\N_NN ,\RD_PUNC जेब्रों\N_NN व\CC_CCD वाइल्ड\JJ बीस्टस\N_NN का\PSP शिकार\V_VM करते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12058	मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP में\PSP भी\RP_RPD पूर्वी\N_NST अफ्रीका\N_NNP के\PSP अन्य\N_NN पार्कों\N_NN की\PSP भाँति\N_NN कई\PR_PRI स्थानों\N_NN पर\PSP दीमकों\N_NN के\PSP बड़े\JJ -\RD_PUNC बड़े\RD_ECH मिट्‍टी\N_NN के\PSP टीलेनुमा\N_NN घर\N_NN दिखाई\V_VM दिए\V_VAUX ।\RD_PUNC
htd12059	कई\PR_PRI क्षेत्रों\N_NN में\PSP इन\DM_DMD दीमकों\N_NN को\PSP भूरी\JJ चींटी\N_NN भी\RP_RPD कहते\V_VM हैं\V_VAUX ।\RD_PUNC
htd12060	लेकिन\CC_CCS मनयारा\N_NNP पार्क\N_NNP के\PSP ये\DM_DMD दीमक\N_NN न\RP_NEG तो\RP_RPD भूरे\JJ हैं\V_VM और\CC_CCD न\RP_NEG ही\RP_RPD चीटियाँ\N_NN ।\RD_PUNC
htd12061	ये\DM_DMD दीमक\N_NN तो\RP_RPD कॉक्रोच\N_NN से\PSP किसी\PR_PRI न\RP_NEG किसी\PR_PRI स्तर\N_NN पर\PSP जुड़ी\N_NN कीटों\N_NN की\PSP एक\QT_QTC आदिम\JJ प्रजाति\N_NN हैं\V_VM ।\RD_PUNC
htd12062	स्वाहिली\N_NNP में\PSP दीमकों\N_NN को\PSP मछवा\N_NN कहते\V_VM हैं\V_VAUX ।\RD_PUNC
htd12063	मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP की\PSP समृद्ध\JJ वन्य\N_NN पशु\N_NN संपदा\N_NN के\PSP दर्शन\N_NN करते\N_NN -\RD_PUNC करते\RD_ECH हम\PR_PRP मसासा\N_NNP व\CC_CCD केम\N_NNP नदियों\N_NN के\PSP बीच\N_NST के\PSP घासीले\JJ मैदान\N_NN में\PSP जा\V_VM पहुँचे\V_VAUX ।\RD_PUNC
htd12064	इस\DM_DMD घासीले\JJ मैदान\N_NN में\PSP हमें\PR_PRP पुन:\N_NN जेब्रों\N_NN को\PSP देखने\N_NN का\PSP अवसर\N_NN सुलभ\V_VM हुआ\V_VAUX ।\RD_PUNC
htd12065	सफेद\JJ शरीर\N_NN पर\PSP काली\JJ धारियों\N_NN वाले\N_NN शर्मीले\JJ प्राणी\N_NN जेब्रा\N_NN को\PSP स्वाहिली\N_NNP में\PSP पुंडा\N_NNP मिलिया\N_NNP (\RD_PUNC धारी\N_NN वाला\N_NN गधा\N_NN )\RD_PUNC कहते\V_VM हैं\V_VAUX ।\RD_PUNC
htd12066	इसमें\DM_DMD संदेह\N_NN नहीं\RP_NEG कि\PSP देखने\N_NN से\PSP कहीं\PR_PRI न\RP_NEG कहीं\PR_PRI जेब्रा\N_NN की\PSP गधे\N_NN से\PSP साम्यता\N_NN प्रतीत\V_VM होती\V_VAUX है\V_VAUX ।\RD_PUNC
htd12067	जेब्रा\N_NN अक्सर\N_NN शेरों\N_NN के\PSP शिकार\V_VM बनते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12068	शेरों\N_NN को\PSP जेब्रा\N_NN का\PSP मांस\N_NN सर्वाधिक\JJ प्रिय\N_NN है\V_VM ।\RD_PUNC
htd12069	सामान्यतया\N_NN जेब्रा\N_NN 12\QT_QTC वर्षों\N_NN तक\PSP जीवित\V_VM रहते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12070	वन्य\JJ जीव\N_NN वैज्ञानियों\N_NN के\PSP अनुसार\N_NN जेब्रा\N_NN की\PSP आयु\N_NN 30\QT_QTC वर्ष\N_NN भी\RP_RPD हो\V_VM सकती\V_VAUX है\V_VAUX ।\RD_PUNC
htd12071	पूर्वी\N_NST अफ्रीका\N_NNP का\PSP गौरव\V_VM हैं\V_VAUX जेब्रा\N_NN ।\RD_PUNC
htd12072	उत्‍तेजित\N_NN होने\N_NN पर\PSP जेब्रा\N_NN भौंकने\N_NN की\PSP सी\N_NN आवाज\N_NN पैदा\V_VM करते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12073	मनयारा\N_NNP में\PSP पाए\N_NN जाने\N_NN वाले\N_NN जेब्रा\N_NN बुर्चेल\N_NN द्वारा\N_NN परिभाषित\N_NN ’\N_NN इक्वस\N_NNP बुर्चेली\N_NNP ’\N_NN प्रजाति\N_NN के\PSP हैं\V_VM ।\RD_PUNC
htd12074	हाथी\N_NN यूँ\CC_CCS तो\RP_RPD लगभग\QT_QTF पार्क\N_NN में\PSP अनेक\N_NN स्थानों\N_NN पर\PSP मिलते\V_VM हैं\V_VAUX ,\RD_PUNC लेकिन\CC_CCS घुमंतु\JJ जीव\N_NN होने\N_NN के\PSP कारण\N_NN निकटवर्ती\N_NST ’नडाला\N_NNP नदी\N_NNP क्षेत्र’\N_NN के\PSP जंगलों\N_NN में\PSP भी\RP_RPD चले\V_VM जाते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12075	नडाला\N_NNP नदी\N_NNP क्षेत्र\N_NN ,\RD_PUNC जहाँ\PR_PRL हाथी\N_NN शोध\N_NN कैंप\N_NN स्थित\N_NN है\V_VM ।\RD_PUNC
htd12076	हाथी\N_NN मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP की\PSP विपुल\JJ वन्य\N_NN संपदा\N_NN का\PSP अहम\JJ भाग\N_NN हैं\V_VM ।\RD_PUNC
htd12077	लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP में\PSP घूमते\N_NN हुए\N_NN हाथियों\N_NN के\PSP एक\QT_QTC झुंड\N_NN से\PSP हमारा\PR_PRP सामना\V_VM हुआ\V_VAUX ।\RD_PUNC
htd12078	बच्चों\N_NN को\PSP हाथियों\N_NN के\PSP झुंड\N_NN के\PSP साथ\N_NN चलते\N_NN दो\QT_QTC अति\RP_INTF नन्हें\JJ हाथी\N_NN शावकों\N_NN को\PSP देखकर\N_NN बड़ा\JJ मजा\V_VM आया\V_VAUX ।\RD_PUNC
htd12079	जन्म\N_NN के\PSP समय\N_NN हाथियों\N_NN की\PSP ऊँचाई\N_NN मात्र\N_NN 80\QT_QTC से.मी.\QT_QTF होती\V_VM है\V_VAUX ।\RD_PUNC
htd12080	वे\DM_DMD दो\QT_QTC नन्हें\JJ हाथी\N_NN लगभग\QT_QTF 1\QT_QTC मीटर\QT_QTF ऊँचे\JJ रहे\V_VM होंगे\V_VAUX ।\RD_PUNC
htd12081	मात्र\N_NN कुछ\PR_PRI माह\N_NN रही\V_VM होगी\V_VAUX उन\PR_PRP नन्हें\JJ हाथियों\N_NN की\PSP आयु\N_NN ।\RD_PUNC
htd12082	हाथी\N_NN अपने\PR_PRF बच्चों\N_NN को\PSP शेरों\N_NN व\CC_CCD अन्य\N_NN जानवरों\N_NN से\PSP बचाने\N_NN के\PSP लिए\PSP उन्हें\DM_DMD अपने\PR_PRF बीचों\N_NST -\RD_PUNC बीच\RD_ECH रखते\V_VM हैं\V_VAUX ।\RD_PUNC
htd12083	अफ्रीकी\JJ हाथी\N_NN (\RD_PUNC लेक्सोडोंटा\N_NN अफ्रीकाना\N_NN )\RD_PUNC जिसे\PR_PRL स्वाहिली\N_NNP में\PSP ’\N_NN टेंबो\N_NN सा\N_NN डोवू\N_NN ’\N_NN कहते\V_VM हैं\V_VAUX एशियाई\JJ हाथी\N_NN से\PSP थोड़ा\QT_QTF बड़ा\JJ होता\V_VM है\V_VAUX ।\RD_PUNC
htd12084	अफ्रीकी\JJ हाथी\N_NN के\PSP कान\N_NN भी\RP_RPD बड़े\JJ होते\V_VM हैं\V_VAUX ।\RD_PUNC
htd12085	लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP लगभग\QT_QTF 400\QT_QTC से\PSP भी\RP_RPD अधिक\JJ हाथियों\N_NN की\PSP आश्रयस्थली\V_VM है\V_VAUX ।\RD_PUNC
htd12086	पार्क\N_NN में\PSP थोड़ी\QT_QTF दूर\N_NST चले\V_VM ही\RP_RPD थे\V_VAUX कि\CC_CCD झाड़ियों\N_NN से\PSP निकलकर\N_NN तीन\QT_QTC चार\QT_QTC हाथी\N_NN सामने\N_NN आ\V_VM खड़े\V_VAUX हुए\V_VAUX ।\RD_PUNC
htd12087	जीप\N_NN रोक\V_VM देनी\V_VAUX पड़ी\V_VAUX लेकिन\CC_CCD इंजन\N_NN चालू\V_VM रखा\V_VAUX गया\V_VAUX ।\RD_PUNC
htd12088	ड्राइवर\N_NN ने\PSP बताया\V_VM हमें\PR_PRP तबतक\DM_DMR रुकना\V_VM होगा\V_VAUX जबतक\DM_DMR स्वेच्छा\N_NN से\PSP हाथी\N_NN यहाँ\DM_DMD से\PSP चले\V_VM नहीं\RP_NEG जाएँगे\V_VAUX ।\RD_PUNC
htd12089	हम\PR_PRP मुश्‍किल\N_NN में\PSP पड़\V_VM गए\V_VAUX थे\V_VAUX ।\RD_PUNC
htd12090	शाम\N_NN गहराने\JJ लगी\V_VM थी\V_VAUX ।\RD_PUNC
htd12091	पक्षियों\N_NN का\PSP कलरव\N_NN बढ़\V_VM गया\V_VAUX था\V_VAUX ।\RD_PUNC
htd12092	पक्षी\N_NN अपने\PR_PRF घोंसलों\N_NN की\PSP ओर\N_NST लौट\V_VM रहे\V_VAUX थे\V_VAUX ।\RD_PUNC
htd12093	सौभाग्य\N_NN से\PSP कुछ\PR_PRI ही\RP_RPD देर\N_NN बाद\N_NST हाथियों\N_NN ने\PSP मस्तानी\JJ चाल\N_NN से\PSP चलते\N_NN हुए\N_NN रास्ता\N_NN छोड़\V_VM दिया\V_VAUX ।\RD_PUNC
htd12094	एक\QT_QTC हाथी\N_NN ने\PSP जोर\N_NN से\PSP चिंघाड़\V_VM मारी\V_VAUX ।\RD_PUNC
